Linux 7.1.12-200.fc44.x86_64 (fedora) 	06/09/26 	_x86_64_	(16 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:02:10 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      6.00      0.00 2919300   57892   0.36  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:02:11 PM IST  1000     37042    3.00    0.00    0.00    0.00    3.00     5     61.00      0.00 2919300   58148   0.36  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:02:12 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      5.00      0.00 2919300   58148   0.36  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:02:13 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      5.00      0.00 2919300   58276   0.36  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:02:14 PM IST  1000     37042    1.00    1.00    0.00    0.00    2.00     5     21.00      0.00 2919300   58276   0.36  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:02:15 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5     17.00      0.00 2919300   58404   0.37  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:02:16 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5     34.00      0.00 2919300   58404   0.37  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:02:17 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      8.00      0.00 2919300   58404   0.37  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:02:18 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      6.00      0.00 2919300   58404   0.37  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:02:19 PM IST  1000     37042    1.00    1.00    0.00    0.00    2.00     5      4.00      0.00 2919300   58404   0.37  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:02:20 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      6.00      0.00 2919300   58404   0.37  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:02:21 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      6.00      0.00 2919300   58404   0.37  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:02:22 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      5.00      0.00 2919300   58532   0.37  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:02:23 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      7.00      0.00 2919300   58532   0.37  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:02:24 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      5.00      0.00 2919300   58532   0.37  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:02:25 PM IST  1000     37042    3.00    0.00    0.00    0.00    3.00     5     39.00      0.00 2919300   58660   0.37  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:02:26 PM IST  1000     37042    2.00    0.00    0.00    0.00    2.00     5      6.00      0.00 2919300   58660   0.37  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:02:27 PM IST  1000     37042    0.00    0.00    0.00    0.00    0.00     5      4.00      0.00 2919300   58660   0.37  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:02:28 PM IST  1000     37042    2.00    1.00    0.00    0.00    3.00     5      6.00      0.00 2919300   58660   0.37  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:02:29 PM IST  1000     37042    0.00    0.00    0.00    0.00    0.00     5      5.00      0.00 2919300   58660   0.37  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:02:30 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      4.00      0.00 2919300   58660   0.37  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:02:31 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      6.00      0.00 2919300   58660   0.37  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
