Linux 7.1.12-200.fc44.x86_64 (fedora) 	06/09/26 	_x86_64_	(16 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:04:23 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      6.00      0.00 2919300   61536   0.39  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:04:24 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      6.00      0.00 2919300   61536   0.39  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:04:25 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      5.00      0.00 2919300   61536   0.39  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:04:26 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      6.00      0.00 2919300   61536   0.39  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:04:27 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      4.00      0.00 2919300   61536   0.39  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:04:28 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      5.00      0.00 2919300   61536   0.39  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:04:29 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      6.00      0.00 2919300   61536   0.39  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:04:30 PM IST  1000     37042    0.00    1.00    0.00    0.00    1.00     5      4.00      0.00 2919300   61536   0.39  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:04:31 PM IST  1000     37042    2.00    0.00    0.00    0.00    2.00     5      6.00      0.00 2919300   61536   0.39  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:04:32 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      5.00      0.00 2919300   61536   0.39  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:04:33 PM IST  1000     37042    2.00    0.00    0.00    0.00    2.00     5      6.00      0.00 2919300   61536   0.39  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:04:34 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      5.00      0.00 2919300   59968   0.38  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:04:35 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      6.00      0.00 2919300   59968   0.38  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:04:36 PM IST  1000     37042    1.00    1.00    0.00    0.00    2.00     5      5.00      0.00 2919300   59968   0.38  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:04:37 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      6.00      0.00 2919300   59968   0.38  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:04:38 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      6.00      0.00 2919300   59968   0.38  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:04:39 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      5.00      0.00 2919300   59968   0.38  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:04:40 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      5.00      0.00 2919300   59968   0.38  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:04:41 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      6.00      0.00 2919300   60096   0.38  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:04:42 PM IST  1000     37042    0.00    0.00    0.00    0.00    0.00     5      5.00      0.00 2919300   60224   0.38  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:04:43 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      6.00      0.00 2919300   60224   0.38  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:04:44 PM IST  1000     37042    1.00    1.00    0.00    0.00    2.00     5      5.00      0.00 2919300   60224   0.38  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:04:45 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      6.00      0.00 2919300   60224   0.38  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:04:46 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      6.00      0.00 2919300   60224   0.38  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:04:47 PM IST  1000     37042    3.00    0.00    0.00    0.00    3.00     5      5.00      0.00 2919300   60352   0.38  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:04:48 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      6.00      0.00 2919300   60480   0.38  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:04:49 PM IST  1000     37042    1.00    1.00    0.00    0.00    2.00     5      6.00      0.00 2919300   60480   0.38  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:04:50 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      5.00      0.00 2919300   60480   0.38  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:04:51 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      6.00      0.00 2919300   60480   0.38  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:04:52 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      5.00      0.00 2919300   60480   0.38  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:04:53 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      5.00      0.00 2919300   60480   0.38  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:04:54 PM IST  1000     37042    0.99    0.00    0.00    0.00    0.99     5      4.95      0.00 2919300   60480   0.38  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:04:55 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      6.00      0.00 2919300   60480   0.38  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:04:56 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      6.00      0.00 2919300   60480   0.38  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:04:57 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      5.00      0.00 2919300   60480   0.38  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:04:58 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      5.00      0.00 2919300   60480   0.38  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:04:59 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      6.00      0.00 2919300   60480   0.38  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:05:00 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      5.00      0.00 2919300   60480   0.38  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:05:01 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5     63.00      0.00 2919300   60736   0.38  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:05:02 PM IST  1000     37042    3.00    0.00    0.00    0.00    3.00     5     84.00      0.00 2919300   60736   0.38  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:05:03 PM IST  1000     37042    1.00    1.00    0.00    0.00    2.00     5     10.00      0.00 2919300   60736   0.38  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:05:04 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      7.00      0.00 2919300   60864   0.38  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:05:05 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5     24.00      0.00 2919300   60864   0.38  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:05:06 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5     40.00      0.00 2919300   60864   0.38  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:05:07 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5     22.00      0.00 2919300   60992   0.38  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:05:08 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5     18.00      0.00 2919300   61248   0.38  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:05:09 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5     14.00      0.00 2919300   61376   0.38  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:05:10 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5     33.00      0.00 2919300   61504   0.39  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:05:11 PM IST  1000     37042    1.00    1.00    0.00    0.00    2.00     5      6.00      0.00 2919300   61504   0.39  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:05:12 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      5.00      0.00 2919300   61504   0.39  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:05:13 PM IST  1000     37042    0.00    0.00    0.00    0.00    0.00     5      4.00      0.00 2919300   61504   0.39  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:05:14 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      6.00      0.00 2919300   61632   0.39  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:05:15 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      5.00      0.00 2919300   61632   0.39  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:05:16 PM IST  1000     37042    3.00    1.00    0.00    0.00    4.00     5     33.00      0.00 2919300   61632   0.39  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:05:17 PM IST  1000     37042    0.00    0.00    0.00    0.00    0.00     5      6.00      0.00 2919300   61632   0.39  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:05:18 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      5.00      0.00 2919300   61632   0.39  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:05:19 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      5.00      0.00 2919300   61632   0.39  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:05:20 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      6.00      0.00 2919300   61632   0.39  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:05:21 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      5.00      0.00 2919300   61632   0.39  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:05:22 PM IST  1000     37042    1.00    1.00    0.00    0.00    2.00     5      6.00      0.00 2919300   61632   0.39  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:05:23 PM IST  1000     37042    2.00    0.00    0.00    0.00    2.00     5      7.00      0.00 2919300   61632   0.39  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:05:24 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      5.00      0.00 2919300   61760   0.39  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:05:25 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      6.00      0.00 2919300   61888   0.39  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:05:26 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      5.00      0.00 2919300   62016   0.39  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:05:27 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      5.00      0.00 2919300   62016   0.39  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:05:28 PM IST  1000     37042    0.00    0.00    0.00    0.00    0.00     5      5.00      0.00 2919300   62144   0.39  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:05:29 PM IST  1000     37042    1.00    1.00    0.00    0.00    2.00     5      5.00      0.00 2919300   62272   0.39  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:05:30 PM IST  1000     37042    2.00    0.00    0.00    0.00    2.00     5      4.00      0.00 2919300   62272   0.39  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:05:31 PM IST  1000     37042    2.00    0.00    0.00    0.00    2.00     5      6.00      0.00 2919300   62272   0.39  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:05:32 PM IST  1000     37042    0.00    0.00    0.00    0.00    0.00     5      6.00      0.00 2919300   62528   0.39  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:05:33 PM IST  1000     37042    2.00    0.00    0.00    0.00    2.00     5      5.00      0.00 2919300   62528   0.39  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:05:34 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      6.00      0.00 2919300   62528   0.39  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:05:35 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      5.00      0.00 2919300   62656   0.39  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:05:36 PM IST  1000     37042    0.00    1.00    0.00    0.00    1.00     5      6.00      0.00 2919300   62656   0.39  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:05:37 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      6.00      0.00 2919300   62656   0.39  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:05:38 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      5.00      0.00 2919300   62656   0.39  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:05:39 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      6.00      0.00 2919300   62656   0.39  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:05:40 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      5.00      0.00 2919300   62656   0.39  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:05:41 PM IST  1000     37042    1.00    1.00    0.00    0.00    2.00     5      5.00      0.00 2919300   62656   0.39  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:05:42 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      5.00      0.00 2919300   62656   0.39  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:05:43 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      7.00      0.00 2919300   62656   0.39  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:05:44 PM IST  1000     37042    3.00    0.00    0.00    0.00    3.00     5      6.00      0.00 2919300   62656   0.39  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:05:45 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      6.00      0.00 2919300   62656   0.39  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:05:46 PM IST  1000     37042    0.00    0.00    0.00    0.00    0.00     5      5.00      0.00 2919300   62656   0.39  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:05:47 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      7.00      0.00 2919300   62656   0.39  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:05:48 PM IST  1000     37042    2.00    0.00    0.00    0.00    2.00     5      6.00      0.00 2919300   62656   0.39  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:05:49 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      6.00      0.00 2919300   62656   0.39  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:05:50 PM IST  1000     37042    1.00    1.00    0.00    0.00    2.00     5      5.00      0.00 2919300   62656   0.39  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:05:51 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      5.00      0.00 2919300   62656   0.39  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:05:52 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      6.00      0.00 2919300   62656   0.39  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:05:53 PM IST  1000     37042    0.00    0.00    0.00    0.00    0.00     5      5.00      0.00 2919300   62656   0.39  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:05:54 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      5.00      0.00 2919300   62656   0.39  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:05:55 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      5.00      0.00 2919300   62656   0.39  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:05:56 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      6.00      0.00 2919300   62656   0.39  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:05:57 PM IST  1000     37042    1.00    1.00    0.00    0.00    2.00     5      6.00      0.00 2919300   62656   0.39  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:05:58 PM IST  1000     37042    3.00    0.00    0.00    0.00    3.00     5      5.00      0.00 2919300   62656   0.39  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:05:59 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      5.00      0.00 2919300   62656   0.39  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:06:00 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      6.00      0.00 2919300   62784   0.39  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:06:01 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      5.00      0.00 2919300   62784   0.39  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:06:02 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      6.00      0.00 2919300   62784   0.39  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:06:03 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      5.00      0.00 2919300   62784   0.39  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:06:04 PM IST  1000     37042    0.00    0.00    0.00    0.00    0.00     5      6.00      0.00 2919300   62784   0.39  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:06:05 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      6.00      0.00 2919300   62784   0.39  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:06:06 PM IST  1000     37042    2.00    0.00    0.00    0.00    2.00     5      6.00      0.00 2919300   62912   0.39  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:06:07 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      6.00      0.00 2919300   62912   0.39  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:06:08 PM IST  1000     37042    0.00    1.00    0.00    0.00    1.00     5      4.00      0.00 2919300   62912   0.39  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:06:09 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      5.00      0.00 2919300   63040   0.39  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:06:10 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      6.00      0.00 2919300   63040   0.39  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:06:11 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      5.00      0.00 2919300   63040   0.39  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:06:12 PM IST  1000     37042    3.00    0.00    0.00    0.00    3.00     5      5.00      0.00 2919300   63040   0.39  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:06:13 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      5.00      0.00 2919300   63040   0.39  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
